,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
3365,0.574,0.66,2,-10.979,1,0.035,0.00367,0.7859999999999999,0.105,0.0296,119.976,4,288000,Dark Trap
1162,0.912,0.696,1,-4.018,1,0.33,0.00045,0.0227,0.78,0.351,129.987,4,178923,Dark Trap
1370,0.863,0.5870000000000001,2,-7.455,1,0.295,0.209,0.0,0.0832,0.7490000000000001,186.58,4,95484,Dark Trap
1670,0.943,0.337,8,-7.269,1,0.472,0.144,0.0,0.1119999999999999,0.32,139.947,4,96156,Dark Trap
2011,0.893,0.6709999999999999,10,-6.964,0,0.253,0.0233,1.04e-06,0.121,0.319,179.976,4,118000,Dark Trap
3159,0.644,0.7909999999999999,1,-6.744,1,0.0353,0.0351,0.927,0.161,0.0712,137.972,3,215652,Dark Trap
584,0.8220000000000001,0.471,1,-11.182,1,0.362,0.03,0.0,0.1159999999999999,0.92,200.182,4,154829,Dark Trap
530,0.6629999999999999,0.618,8,-10.447,1,0.0391,0.0465,0.000711,0.259,0.15,119.989,4,144048,Dark Trap
626,0.589,0.607,10,-12.671,0,0.614,0.177,0.0,0.0928,0.77,164.132,4,235807,Dark Trap
33,0.455,0.525,5,-12.692,0,0.0455,0.136,0.7340000000000001,0.125,0.2789999999999999,119.999,4,159974,Dark Trap
1025,0.933,0.487,1,-9.172,1,0.385,0.0408,0.0,0.0755,0.3279999999999999,125.033,4,180942,Dark Trap
764,0.8290000000000001,0.7040000000000001,6,-7.065,0,0.2769999999999999,0.495,0.0,0.103,0.653,130.149,4,207151,Dark Trap
8,0.774,0.7509999999999999,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.1889999999999999,219.96,4,140326,Dark Trap
1186,0.9,0.7829999999999999,10,-4.498,0,0.228,0.00373,0.0,0.183,0.626,168.52599999999998,4,139389,Dark Trap
4147,0.7140000000000001,0.848,1,-3.069,1,0.0489,0.000306,0.738,0.0596,0.3979999999999999,172.02700000000002,4,146512,Dark Trap
1261,0.664,0.3989999999999999,6,-11.661,1,0.0743,0.7909999999999999,0.0,0.1159999999999999,0.424,133.904,4,200602,Dark Trap
3477,0.639,0.908,4,-10.206,0,0.0978,0.0639,0.00377,0.103,0.108,139.97899999999998,4,219794,Dark Trap
3954,0.552,0.633,5,-7.218,0,0.0701,0.0336,0.441,0.201,0.0972,135.106,4,232889,Dark Trap
4161,0.497,0.3779999999999999,1,-11.049,1,0.13,0.166,0.0122,0.102,0.275,138.916,5,199404,Dark Trap
135,0.8490000000000001,0.98,1,-0.964,1,0.0575,0.254,0.000787,0.551,0.295,219.988,4,122182,Dark Trap
