,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
7111,0.411,0.947,1,-5.98,1,0.084,0.000531,2.05e-06,0.188,0.133,97.045,audio_features,40d8LIT3dqTPF1dRsU2qvl,spotify:track:40d8LIT3dqTPF1dRsU2qvl,https://api.spotify.com/v1/tracks/40d8LIT3dqTPF1dRsU2qvl,https://api.spotify.com/v1/audio-analysis/40d8LIT3dqTPF1dRsU2qvl,77300,4,Eternal Boy,5JpyqSzrSwDUKtySzVsYHh,Clean Slate,punk
7112,0.395,0.983,5,-3.288,1,0.077,0.00117,8.7e-06,0.234,0.41,122.796,audio_features,2lpLwbdNO30FxzWCZyP77V,spotify:track:2lpLwbdNO30FxzWCZyP77V,https://api.spotify.com/v1/tracks/2lpLwbdNO30FxzWCZyP77V,https://api.spotify.com/v1/audio-analysis/2lpLwbdNO30FxzWCZyP77V,143221,4,D.O.A.,3g92p1YpivbOqVLiYVd4Yk,Not Gonna Take Your Crap No More,punk
7113,0.4,0.956,2,-4.081,1,0.0718,1.16e-05,2.25e-05,0.299,0.22,139.954,audio_features,7874Z343PEj8TkssG3ySr7,spotify:track:7874Z343PEj8TkssG3ySr7,https://api.spotify.com/v1/tracks/7874Z343PEj8TkssG3ySr7,https://api.spotify.com/v1/audio-analysis/7874Z343PEj8TkssG3ySr7,186535,4,Introvert,7FwkSwnzWbhUzwJEwlqlJw,December,punk
7114,0.461,0.725,4,-6.219,0,0.0353,0.0126,0.492,0.128,0.683,120.924,audio_features,67RKR4GWYeDp4aCPVh5kG7,spotify:track:67RKR4GWYeDp4aCPVh5kG7,https://api.spotify.com/v1/tracks/67RKR4GWYeDp4aCPVh5kG7,https://api.spotify.com/v1/audio-analysis/67RKR4GWYeDp4aCPVh5kG7,181841,4,Gogol Bordello,2SVw939fwuqSobLjF8u78b,Walking on the Burning Coal,punk
7115,0.18,0.934,4,-8.699,1,0.115,3.32e-05,0.000551,0.0702,0.433,197.043,audio_features,16RLonBmK3BaWJnYRLUiyH,spotify:track:16RLonBmK3BaWJnYRLUiyH,https://api.spotify.com/v1/tracks/16RLonBmK3BaWJnYRLUiyH,https://api.spotify.com/v1/audio-analysis/16RLonBmK3BaWJnYRLUiyH,130267,4,NOFX,4S2yOnmsWW97dT87yVoaSZ,Linoleum,punk
7116,0.427,0.983,6,-4.409,1,0.184,1.89e-05,1.98e-05,0.31,0.266,94.998,audio_features,3Xg8qrH1aNc11nSqdl6byh,spotify:track:3Xg8qrH1aNc11nSqdl6byh,https://api.spotify.com/v1/tracks/3Xg8qrH1aNc11nSqdl6byh,https://api.spotify.com/v1/audio-analysis/3Xg8qrH1aNc11nSqdl6byh,233053,4,Mystery Weekend,2NvcFnHyq8b1kNsNU2zEnH,Theodore,punk
7117,0.391,0.968,0,-6.324,1,0.0625,0.0102,7.01e-05,0.446,0.647,90.481,audio_features,4d9LC9QoGja5M3en0HWUq1,spotify:track:4d9LC9QoGja5M3en0HWUq1,https://api.spotify.com/v1/tracks/4d9LC9QoGja5M3en0HWUq1,https://api.spotify.com/v1/audio-analysis/4d9LC9QoGja5M3en0HWUq1,135133,4,Descendents,1FGH4Bh7g9W6V4fUcKZWp5,I'm The One,punk
7118,0.233,0.848,11,-6.322,1,0.0461,0.039,1.87e-05,0.135,0.223,177.44,audio_features,7fYabANyBAwb9TcUxvTQ0s,spotify:track:7fYabANyBAwb9TcUxvTQ0s,https://api.spotify.com/v1/tracks/7fYabANyBAwb9TcUxvTQ0s,https://api.spotify.com/v1/audio-analysis/7fYabANyBAwb9TcUxvTQ0s,217480,4,Rainer Maria,5OUVzPFZebtoZFs85MIQpz,Breakfast Of Champions,punk
7119,0.36,0.505,7,-9.129,1,0.026,0.0626,9.22e-05,0.172,0.317,74.807,audio_features,3SVAN3BRByDmHOhKyIDxfC,spotify:track:3SVAN3BRByDmHOhKyIDxfC,https://api.spotify.com/v1/tracks/3SVAN3BRByDmHOhKyIDxfC,https://api.spotify.com/v1/audio-analysis/3SVAN3BRByDmHOhKyIDxfC,264067,4,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Karma Police,rock
7120,0.564,0.865,2,-7.384,1,0.121,0.000583,0.0,0.056,0.726,183.052,audio_features,2RZWdE8kYPlCAcRUYDeuLC,spotify:track:2RZWdE8kYPlCAcRUYDeuLC,https://api.spotify.com/v1/tracks/2RZWdE8kYPlCAcRUYDeuLC,https://api.spotify.com/v1/audio-analysis/2RZWdE8kYPlCAcRUYDeuLC,198173,4,Billy Talent,08yf5A2nS4XEeNvabDXqyg,Red Flag,rock
