,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_id,track_name,genre
3653,0.585,0.132,9,-12.731,1,0.0751,0.937,0.0,0.106,0.454,151.968,audio_features,2KWQgEXc3ZzX6npPgIEqSB,spotify:track:2KWQgEXc3ZzX6npPgIEqSB,https://api.spotify.com/v1/tracks/2KWQgEXc3ZzX6npPgIEqSB,https://api.spotify.com/v1/audio-analysis/2KWQgEXc3ZzX6npPgIEqSB,159172,4,Joan Sebastian,7FsRH5bw8iWpSbMX1G7xf1,Eso Y Mas,latin
3654,0.495,0.116,2,-16.043,1,0.0405,0.672,0.0,0.0977,0.343,98.101,audio_features,7BCQ7bfdNpCdLmlvEGUfSG,spotify:track:7BCQ7bfdNpCdLmlvEGUfSG,https://api.spotify.com/v1/tracks/7BCQ7bfdNpCdLmlvEGUfSG,https://api.spotify.com/v1/audio-analysis/7BCQ7bfdNpCdLmlvEGUfSG,547960,4,Pescado Rabioso,3q1NXsv9XypOUCJfEatXH9,Cantata de Puentes Amarillos,latin
3655,0.744,0.871,8,-5.123,1,0.0499,0.145,0.000503,0.0752,0.902,172.03,audio_features,03wOwEbTS3JR2Y2U0TxkFx,spotify:track:03wOwEbTS3JR2Y2U0TxkFx,https://api.spotify.com/v1/tracks/03wOwEbTS3JR2Y2U0TxkFx,https://api.spotify.com/v1/audio-analysis/03wOwEbTS3JR2Y2U0TxkFx,195400,4,Don Omar,33ScadVnbm2X8kkUqOkC6Z,Encanto,latin
3656,0.7,0.536,6,-5.564,1,0.0499,0.127,0.0,0.133,0.268,135.392,audio_features,0xBRCnr2dyUBebAhfIDYL2,spotify:track:0xBRCnr2dyUBebAhfIDYL2,https://api.spotify.com/v1/tracks/0xBRCnr2dyUBebAhfIDYL2,https://api.spotify.com/v1/audio-analysis/0xBRCnr2dyUBebAhfIDYL2,259586,4,Miky Woodz,1pf0MPKfKdvS8J779mS1Ay,Aparentas,latin
3657,0.769,0.838,2,-5.238,1,0.0633,0.16,0.0,0.0935,0.602,93.996,audio_features,0VKkyBKCXyR99navhVRqcP,spotify:track:0VKkyBKCXyR99navhVRqcP,https://api.spotify.com/v1/tracks/0VKkyBKCXyR99navhVRqcP,https://api.spotify.com/v1/audio-analysis/0VKkyBKCXyR99navhVRqcP,249609,4,Zion & Lennox,21451j1KhjAiaYKflxBjr1,La player (Bandolera),latin
3658,0.44,0.498,0,-9.788,1,0.0264,0.229,0.0,0.173,0.157,77.368,audio_features,2KArbNRAnfGcnZ1gSYhVy5,spotify:track:2KArbNRAnfGcnZ1gSYhVy5,https://api.spotify.com/v1/tracks/2KArbNRAnfGcnZ1gSYhVy5,https://api.spotify.com/v1/audio-analysis/2KArbNRAnfGcnZ1gSYhVy5,305067,4,The Verve,2cGwlqi3k18jFpUyTrsR84,The Drugs Don't Work,alt-rock
3659,0.149,0.00281,0,-40.708,0,0.0463,0.96,0.63,0.0879,0.0196,137.217,audio_features,1JGWAEOOPv8LyKh92eVa39,spotify:track:1JGWAEOOPv8LyKh92eVa39,https://api.spotify.com/v1/tracks/1JGWAEOOPv8LyKh92eVa39,https://api.spotify.com/v1/audio-analysis/1JGWAEOOPv8LyKh92eVa39,530000,5,György Ligeti,1zb5zmIuX2lTbzcn7YeQlg,Lux aeterna,classical
3660,0.524,0.114,1,-19.498,1,0.0423,0.956,0.897,0.0893,0.0322,120.045,audio_features,28e39ZgF4yqqmRCr8bw8kR,spotify:track:28e39ZgF4yqqmRCr8bw8kR,https://api.spotify.com/v1/tracks/28e39ZgF4yqqmRCr8bw8kR,https://api.spotify.com/v1/audio-analysis/28e39ZgF4yqqmRCr8bw8kR,220933,3,Dario Marianelli,0s1ec6aPpRZ4DCj15w1EFg,A Tale Of Three Cities,classical
3661,0.3,0.574,2,-5.126,1,0.0316,0.426,2.27e-05,0.0939,0.387,95.712,audio_features,1YmT3bHeND3IQQ1WLH03jQ,spotify:track:1YmT3bHeND3IQQ1WLH03jQ,https://api.spotify.com/v1/tracks/1YmT3bHeND3IQQ1WLH03jQ,https://api.spotify.com/v1/audio-analysis/1YmT3bHeND3IQQ1WLH03jQ,244547,5,Chris Janson,60gmlHZmT16wiO9GiXKYK9,Holdin' Her,country
3662,0.512,0.724,0,-5.165,1,0.0498,0.000185,0.000439,0.185,0.347,122.94,audio_features,0heZHWvPTugMPPWwyYrnIW,spotify:track:0heZHWvPTugMPPWwyYrnIW,https://api.spotify.com/v1/tracks/0heZHWvPTugMPPWwyYrnIW,https://api.spotify.com/v1/audio-analysis/0heZHWvPTugMPPWwyYrnIW,165787,4,Paul Brandt,11Rb0Ax3Q2dZJ7jNlOvxxP,Bittersweet (feat. Lindsay Ell),country
